2026-04-02 18:09:30 | INFO     | smcbot | Logger test
2026-04-02 18:26:11 | INFO     | smcbot | Logger test
2026-04-02 18:46:52 | INFO     | smcbot | New trading day started. Balance: $100,000.00
2026-04-02 18:46:52 | INFO     | smcbot | Position size | Balance: $100,000.00 | Risk: $1000.00 | Entry: 450.00 | SL: 445.00 | Shares: 200.0
2026-04-02 18:46:52 | INFO     | smcbot | TP1: 457.50 | TP2: 465.00
2026-04-03 09:22:29 | INFO     | smcbot | SMCBot initialized.
2026-04-03 09:22:30 | INFO     | smcbot | Connected to Alpaca [PAPER]. Balance: $100,000.00
2026-04-03 09:22:30 | INFO     | smcbot | New trading day started. Balance: $100,000.00
2026-04-03 09:22:30 | INFO     | smcbot | All modules initialized. Bot ready.
2026-04-03 09:25:30 | INFO     | smcbot | Pre-loading market data...
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for SPY 1Day
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for SPY 4Hour
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for SPY 1Hour
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for SPY 15Min
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for SPY 5Min
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for QQQ 1Day
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for QQQ 4Hour
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for QQQ 1Hour
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for QQQ 15Min
2026-04-03 09:25:31 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:25:31 | WARNING  | smcbot | No data loaded for QQQ 5Min
2026-04-03 09:28:32 | INFO     | smcbot | SMCBot initialized.
2026-04-03 09:28:32 | INFO     | smcbot | Connected to Alpaca [PAPER]. Balance: $100,000.00
2026-04-03 09:28:33 | INFO     | smcbot | New trading day started. Balance: $100,000.00
2026-04-03 09:28:33 | INFO     | smcbot | All modules initialized. Bot ready.
2026-04-03 09:28:50 | INFO     | smcbot | Pre-loading market data...
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for SPY 1Day
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for SPY 4Hour
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for SPY 1Hour
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for SPY 15Min
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for SPY 5Min
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for QQQ 1Day
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for QQQ 4Hour
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for QQQ 1Hour
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for QQQ 15Min
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | WARNING  | smcbot | No data loaded for QQQ 5Min
2026-04-03 09:28:50 | INFO     | smcbot | Trading loop started.
2026-04-03 09:28:50 | INFO     | smcbot | Bot started. Watching: ['SPY', 'QQQ']
2026-04-03 09:28:50 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:28:50 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:50 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:28:51 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:28:51 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:28:51 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

